name,stars,text,timeSince,openStatus,key
Sandhya Voona,4.0,"We just started at the opening time 11:00 🕚.. huge fun
Full empty and all free to start ... kids went crazy 😜 😝 and happy 😊... …More",10 months ago,Open,1000968819
Joe Martino,5.0,Kids love this place. We had my son's birthday here and it was a great time.,3 weeks ago,Open,1000968819
Lad Bell,5.0,"What a very nice and pleasant return to my daughters favorite places.  FULL COVID protocols are in place including temperature check, hand sanitizer stations throughout and staff continuously wipes down games after each person.  They are on …More",4 months ago,Open,1000968819
Amanda Perez,5.0,Today we had my princess 8th birthday party and let me tell you our hostess was so phenomenal and amazing she was very attentive and if I needed her she was always there paid attention to every detail and answered our questions she is the …More,a month ago,Open,1000968819
Analis Rivera,5.0,"I love this chuck e cheese. I went here with my mom, sister and niece and we had a great time. It's never too packed, the staff is friendly and helpful, and the place was overall clean. Even thought prices are a little high like all chuck e …More",a year ago,Open,1000968819
Saba Naz Mahmud,5.0,It's a nice place for hanging out with kids they really enjoyed while playing with these games,2 months ago,Open,1000968819
Francisco Senn,5.0,"I go with my wife to this restaurant quite a bit! This is the best place to to have a good dinner.  I visit this place at least once a month. The meals are great, the staff members are professional and the cost is reasonable. I enjoy eating in this spot over a decent dinner.",9 months ago,Open,1000968819
ANA TAYLOR,5.0,This is exclusively about my visit today. I came on a Tuesday so it was pretty empty.  Food service was fairly quick.  My kids had a blast for hours. The manager Tiera was very helpful with an issue I had with a coupon.  I was very happy …More,a year ago,Open,1000968819
A D,1.0,Granted it slow because of COVID 19. I went to pizza take out. Have the customers were not wearing property. The stuff do not really care.,4 months ago,Open,1000968819
Nickole Williams,4.0,Great place to let the little ones run free. The food is good. Plenty of games for all ages. Descent size.,a year ago,Open,1000968819
Big Chuck,4.0,This location is a nice store! Especially in the morning. The place is a clean and you can have the whole place to yourself. Main reason I decided to come here was because of the history and the classic Road Stage! They were at another part …More,4 years ago,Open,1000968819
Esther Caraballo,1.0,Some of the games were not working or giving tickets sadly. Employees were friendly. Place looks clean superficially. Not worth going there. Hopefully they fix their games.,a year ago,Open,1000968819
Nicole C,3.0,"If the employees weren't all talking uncivilized and embarrassing to one another , the entire evening my family was there tonight , it would have been enjoyable. Not to mention as I was getting salad from the salad bar there was a kid …More",11 months ago,Open,1000968819
Steven Bassett,3.0,It's conveniently located if you are in the Wayne/Riverdale/Rt 23 and north area... It is showing signs of age as the characters on stage are not fully functional and the seating and table fixtures are peeling/faded.  My kid has a good time …More,9 months ago,Open,1000968819
Melissa Rivera,5.0,Loved sharing my friends daughters 1st birthday with her family and friends.,2 years ago,Open,1000968819
Karen Mazur,4.0,"Okay, I love taking my grandkids to Chuck E. Cheese, right up until it's time to leave. It feels safe, well supervised, and even the food is decent,  if expensive. Then it's time to leave, and the kids have played their hearts out to win …More",10 months ago,Open,1000968819
Liana Fontan,5.0,We picked the Best time to go--Friday night!!! Kids had the whole place to themselves besides a couple of parties happening..but the kids roamed free with no worries..,a year ago,Open,1000968819
Dwayne Koning,5.0,It was good an clean,2 weeks ago,Open,1000968819
Farhanna B Sayegh,1.0,Usually overcrowded so I went late one day. They lock the door about an hour before closing so that nobody else comes in - ignore you when you knock - and seem very annoyed when you walk in because someone else lets you in as they are …More,a year ago,Open,1000968819
Zach Aurora,5.0,This place is clean all the games worked. Nice area. Staff was a bit tired I can understand I think they were happy to close lol😁 overall it's a good place for family's to go.,a year ago,Open,1000968819
Jignesh Patel,5.0,Good place for kids. Cheese pizza is good too,10 months ago,Open,1000968819
melissa matos,4.0,I think they need more games for children 2-5 yrs my daughter loves it there but there aren't to many games she can actually play.,a year ago,Open,1000968819
Oscar Castro,2.0,"Hot summer day and the ac is barely running. There is 100 kids and 150 parents in this place and it stinks.  Never going back to this dump. Rt 10 is way better, cleaner and always has the ac pumping.",a year ago,Open,1000968819
Ahmed,5.0,It's always fund and kids are enjoying their.,9 months ago,Open,1000968819
Amy Salomon,5.0,Great place to bring the kids to have fun. Coupons make it inexpensive. Air conditioning is GREAT,a year ago,Open,1000968819
M Jeff Castillo,4.0,Good food.. party had excellent service.. staff was friendly,a year ago,Open,1000968819
Matthew Alcalde,4.0,"For $23, my son had a blast with all the arcade games. They could use someone to roam the floor in case there's a machine malfunction. The football throwing game was broken, and I couldn't find anyone to help me get my money back. But …More",a year ago,Open,1000968819
calista,1.0,absolutely terrible. we had gone to redeem 100 tickets for my brothers birthday and the worker at the front desk as extremely rude and made a big deal about us getting the tickets. she ended up giving us less than fifty but at that point it …More,a year ago,Open,1000968819
Ale Abreu,1.0,"I visited this Chuck E Cheese yesterday. I haven't been to CEC for about a year. We went we played, it was an okay visit, I've been to better ones. The reason why I'm giving this review a 1 star, is because I still had tokens from previous …More",a year ago,Open,1000968819
Tarek Eltahawy,5.0,"High safety for kids
Amazing
Highly recommended",a year ago,Open,1000968819
Isabel Mejia,5.0,Nice,2 months ago,Open,1000968819
Michelle Jamison,4.0,We love Chuck E Cheese!!,a year ago,Open,1000968819
Bmxthegardennj,5.0,I love it here my son has the best time ever.   I only dont like the fact that I was going to the bathroom and some fat little kid came kicking the door down,a year ago,Open,1000968819
Hesham Fadel,5.0,Beat one very good service's,9 months ago,Open,1000968819
Tiffany Flores,5.0,Kids had a great time. Not too busy. Pizza isn't the best but it's not terrible. Salad bar isn't bad either.,a year ago,Open,1000968819
Joe Munley,4.0,"A good place to take children up to eight years of age.  Food is fair, though a little pricey.  This is a good place for a rainy day outing.  I think you will enjoy watching the kids play video games and skee ball in a safe place.",2 years ago,Open,1000968819
vincent daniels,2.0,The tables are dirty. Noone is cleaning. The soda machine has no ice and 3 of the flavors were empty. My baby had fun at least. That's all.,a year ago,Open,1000968819
María Schmidt,4.0,"It's  a fun place with delicious  food, great for kids",a year ago,Open,1000968819
Jonathan Papamarkos,5.0,Our kids always have a great time at the Wayne Chuck E. Cheese.  They really know how to take care of families and provide a safe and fun environment.,a year ago,Open,1000968819
Michelle Rodriguez,1.0,I was there earlier this week and the staff was extremely rude! From the second we walked in staff members just stared at us until a manager had to tell one of them to assist us. This staff member proceeded to assist us while rolling her …More,a year ago,Open,1000968819
Erin Gilgur,5.0,"Super fun, and clean. My kids love playing here and can stay for hours!!",a year ago,Open,1000968819
Lisa Warner,5.0,"Great food, good drinks, nice atmosphere! Good to go out with friends but also kid friendly!",a year ago,Open,1000968819
Ivana Kinsel,5.0,Really fantastic service here for us. I’ve been to many Chuck E Cheese though this is the one I grew up with as a kid.  I always ask for extra sauce but never get it and without fail they remembered to give it. All employees were helpful …More,2 years ago,Open,1000968819
Stephannie Platero,3.0,"I went for a family members birthday party and a lot of the machines were not working, the party host looked like she didnt want to be there, and another worker there had a huge hickey on her neck. No professionalism at all at this chuck E. Cheese.",a year ago,Open,1000968819
Melissa Torres,1.0,"First off the staff was extremely rude and should not be working with a place for children if they are not going to have patience. I noticed fluid was leaking from the play area, and I was concerned that maybe it was urine. I brought my …More",a year ago,Open,1000968819
Rahul Bhardwaj,5.0,Great place for kids and birthday parties,11 months ago,Open,1000968819
Kyle Lorentz,5.0,"Used to go here as a kid and now I go here with my nieces and nephews. It's cool how they updated the place to reflect the wants of today's kid. Back in my day, it was all arcade games. That was the kind of things us 90's kids love. …More",2 years ago,Open,1000968819
Jon-Luke,4.0,Nice place for kids of all ages. The food could be a little better.,a year ago,Open,1000968819
Anka W.,5.0,"Staff is super friendly , great pizza , busy on the weekends .",a year ago,Open,1000968819
konokchowdhury,5.0,Great place for kids.,10 months ago,Open,1000968819
John B,5.0,"Can't go wrong here with kids, basically unlimited games, good pizza, and many drinks to choose from. Plus kids cash in tickets for prizes at the end.",a year ago,Open,1000968819
K D,1.0,"Most games either broken or out of tickets. Manager was going to fix picture machine so we could retrieve our picture and it still didnt work, no credit given. Other games take credits and dont work. As we were still playing they shut power …More",a year ago,Open,1000968819
Angela Gutierrez,1.0,I usually come here with no issue. Today I ordered buffalo chicken and it was raw. Beware of the food you order here,11 months ago,Open,1000968819
Krishna Shah,5.0,Me and my family loves that place,10 months ago,Open,1000968819
Tommy Molinna,4.0,A lot fun for kids and teens!!,a year ago,Open,1000968819
Ivannia Arnuero,5.0,"The best place for the kids and parents, but long time to be there bc is so much fun 🤣🤣",a year ago,Open,1000968819
Shannon mehr,4.0,we go here because it's close. but they are understaffed takes for every for someone to come reload the tickets in the games. food it good and a great place to go for a rainy fun day,a year ago,Open,1000968819
Mercedes Enchautegui,5.0,"Always clean, staff is always very helpful, not as busy with overwhelming amount of ppl. Its a little ride from us but worth the piece of mind that your in a place that's pleasant. …More",2 years ago,Open,1000968819
tammy albert,5.0,My Grandson loves this place!!,9 months ago,Open,1000968819
Sherone Paisley,4.0,Great for kids give them something to do and the food is great as well,a year ago,Open,1000968819
Hana Smith,2.0,Most locations are so much fun and great prices but the Wayne location has all of the machines programmed to give out a maximum of 6 tickets so it kinda takes the fun out of it.,a year ago,Open,1000968819
Elissa Kaplan,5.0,Great Sunday birthday party hosting experience.  The staff was helpful with 32 guests plus additional siblings and family. I was overjoyed by how smoothly everything went. They went above and beyond to make me happy.,2 years ago,Open,1000968819
Liana Fontan,5.0,Best time to go is on Friday night,a year ago,Open,1000968819
Crystal McCallum,3.0,Went with 2 little boys and they were super busy.,9 months ago,Open,1000968819
Joy George Kunjikkuru,5.0,Good place for kids to enjoy. Reasonable rate. Good and helpful staff,a year ago,Open,1000968819
Sim Metallica,5.0,"Jerome & Tiera are amazing managers,  very kind people. I thank them and the entire staff for all the fun my daughter and I have at this place 🙂",10 months ago,Open,1000968819
Belinda Rivas,5.0,Great place. The kids love it.,a year ago,Open,1000968819
Lewis,4.0,Fun for the children love the animations my grandchildren love it unfortunately the prices for food are very expensive. Chicken wings in a large pie over $40 with the soda,a year ago,Open,1000968819
Lily E W,5.0,Clean place with fun arcade rides and games appropriate for young kids. There's bumper cars here also.,a year ago,Open,1000968819
joana vieira,5.0,"Lovely place , my granddaughter was so happy there., salad bar great, service very good",a year ago,Open,1000968819
Roibe Duran,5.0,Kids really have fun here.,2 years ago,Open,1000968819
Area_Surveyor_K,5.0,This is a good location.  Better than most.,a year ago,Open,1000968819
Sean Mohrhoff,4.0,"Fast friendly staff, play cards instead of money or tokens and great hand tossed pizza with unlimited drinks! If you have never been, grab your kid or borrow a niece or nephew and have a blast! Dinking one star for booths not scaled for plus sized adults but that's the only negative point!",2 years ago,Open,1000968819
Kaneisha Jackson,5.0,"Very fun environment and staff reacts very quickly when the games dont work, had an grad tiime",a year ago,Open,1000968819
GROWING UP LALICATA,3.0,The chuck e cheese in Wayne is a bit smaller than the chucky e cheese in Paramus and it was very crowded and a lot of their games and rides weren't working and it seemed a bit filthy but it is a children's place and I went on the weekend so …More,a year ago,Open,1000968819
Wellington Camarena,3.0,"It was okay, rides were clean bathroom was well kept considering the variables. The staff was mostly young adults that seemed disinterested but overall great service and I wish they had more toddler rides.",2 years ago,Open,1000968819
Aneudi Guerrero,5.0,Very nice and clean. pizza was good But the wings need to be better. The unlimited plan was good.,2 years ago,Open,1000968819
Lucy Dimova,1.0,"Majority of the staff and the manager are extremely RUDE!!! They make people wait at the register while discussing personal 'Dramas'. No Hello,No Welcome To, not even 'what can I get for you'. It's a nasty 'Yes' with such pain in their voice and soul! And the place is DIRTY!!!  Disgusting",a year ago,Open,1000968819
Kathleen Gratacos,5.0,The service was great and the food was delicious!,a year ago,Open,1000968819
Josiah Servilio,3.0,"Clean. Food is expensive. Games are decently priced, but old, and poor condition",a year ago,Open,1000968819
Jay,5.0,Super friendly staff lots of fun for the family and of course delicious pizza.,a year ago,Open,1000968819
Alex E Durmaz,3.0,Poor maintenance on many of the games and devices. Ticket dispensers are inconsistent most of the time. Half of the ticket counters are out-of-service and there is always an unnecessary line. I think they need a better management here for sure.,a year ago,Open,1000968819
Amanda Bear,5.0,"Less people
Cleaner then the ones I’ve been to",10 months ago,Open,1000968819
Myra Oconnor,4.0,"I come here occasionally and its great service. Especially from the curly red head Jay, she’s ALWAYS in the brightest mood, great personality, very helpful. Other than a few broken games it’s a good family oriented place.",3 years ago,Open,1000968819
