name,stars,text,timeSince,openStatus,key
Daniel Kelly,4.0,"Food was really good. Went on a Sunday early afternoon and only one server and about 8 tables. No knock on her she was pleasant, working hard and doing her best. Just saying maybe go after 2 on a Sunday. My kids love it.",a year ago,Closed,1000810813
Avais Sherani,5.0,"Really nice outlet with ample seating space. Best part is the service here. The moment you enter you are taken care by the wonderful staff who make sure you are taken care by till you leave. The food was really good, service was super fast, …More",a year ago,Closed,1000810813
Ninfa Hillenbrand,5.0,"At the first moment  you arrive in that place  the waiters give you a nice feeling. Very comfortable waiters, it is a kind place to hang out with friends and colleagues or with your date. delicious  cuisine, talented  chief cook and stuff, competitive  cost and nice  service. Warmly recommended.",a year ago,Closed,1000810813
Andrew Cinque,5.0,Tasty pizza always sports and an all time family classic old and new. Friendly staff and courteous people. Floors and fridge always squeaky clean love it kitchen clean. Cant further explain how awesome  it is,a year ago,Closed,1000810813
JAY MEDI,5.0,"Pizza Hut pizza is always good, but this location gets a 5 star for excellent customer service. The manager is always super friendly and helpful. I just love it. My friends and I visit on Fridays. If you are in the neighborhood please stop by.",a year ago,Closed,1000810813
Keaton Baird,5.0,"Definitely a spot worth stopping by, the food is awesome and fresh, the pricing is convenient and it is constantly neat there. Fantastic work.",9 months ago,Closed,1000810813
Frederick Koo,5.0,The sit in service is great. If you want to go they are quick and pizza is good.,9 months ago,Closed,1000810813
Brianna Christiano,4.0,Always pretty quiet when I come here but good pizza and breadsticks,8 months ago,Closed,1000810813
Nysports Mcp,5.0,"Very good food, service good too. Love the stuffed crust.",10 months ago,Closed,1000810813
Andrew Quinitchette,5.0,I tried their limited time only stuffed cheese it pizza. You can get it with pepperoni and cheese or cheese only. I got it with the pepperoni and it was amazing. They come in 4 fair sized stuffed cheese its (basically an appetizer) it's a …More,a year ago,Closed,1000810813
