name,stars,text,timeSince,openStatus,key
Blake Hutchinson,1.0,"Ordered some wings and calzones for my wife and I, the wings were over cooked and leathery. Then the put green olives all over my calzone instead of jalapeños. Won’t be stopping here anymore.",3 weeks ago,Open,1000902898
Renee W.,1.0,Walked in to pick up my order and at least 4 employee did not have masks on. When I asked they said it was too hot for them to wear them,3 months ago,Open,1000902898
Logan Connor,5.0,"Always a quick, easy, and tasty dinner.",a week ago,Open,1000902898
mike frost,5.0,Service is always quick and correct food is good we thank them for their hard work,5 months ago,Open,1000902898
Cade Smithwick,5.0,Great Food and quick Delivery!,a week ago,Open,1000902898
Fed Up,1.0,"One night they deliver the next they don’t. Once I was told I had to add a tip to the card before they would send a driver. I thought $5 tip was good for delivering pizza, Hmmmmm.  So over it, we are done! If you can’t make up your mind, there are plenty of other places with much better pizza!",11 months ago,Open,1000902898
Daniel Hyde,5.0,The best pizza in town,a month ago,Open,1000902898
donna hampton,5.0,Love it they. Know  my name,5 months ago,Open,1000902898
Ab Ba,1.0,Walked in to get my pizza notice three employees not wearing masks well not on their faces,3 months ago,Open,1000902898
Darin Tobias,2.0,Extremely greasy. So much so that I need 3 napkins for one piece. Usually much better but not this tim . Sorry,a year ago,Open,1000902898
Dan Benjamin,5.0,Great tasting pizza 🍕,3 months ago,Open,1000902898
Maysonbechtel 17,1.0,"Horrible service,  called to order one howie bread and the guy forgot to push enter on my order so I waited 45 minutes for nothing.  Called them to ask where my bread was and the lady was rude and wanted me to wait another 45 minutes. If you want your pizza fast don’t order it from here.  TERRIBLE!",a year ago,Open,1000902898
Darren S.,5.0,Greatest pizza I’ve ever had. Great customer service as well.,11 months ago,Open,1000902898
Michele Thompson,5.0,Love their subs and pizza the bread is great too.,11 months ago,Open,1000902898
Christina Diamond,2.0,"I ordered 2 breads, 2 pizzas, and an Italian sub. The bread and pizza are good, typical Howie food. The sub inedible. Im going to try to upload pictures. The whole top of it is falling apart. I can't even pick it up.",a year ago,Open,1000902898
S. U.,5.0,"A very convenient and local home town pizzeria. The staff is always friendly and helpful. Plus they have a lot of really great specials! We received a large 2 topping pizza with a large chef salad for only $16.95 tax included. And it was tasty, hot and fresh. I heartily recommend this Hungry Howie's!",2 years ago,Open,1000902898
Riley Brady,4.0,The staff is nice and the pizzas good but can be grease at time,a year ago,Open,1000902898
Tygr Strykyr,5.0,The heart shaped pizza was perfectly cooked!,9 months ago,Open,1000902898
Kelsey,5.0,"The delivery guys are always so polite and fast, pizza always hot they go above and beyond (especially with the sauce) for their customers. Dominos doesn't  come close to hungry howies",a year ago,Open,1000902898
Michael Besaw Jr,5.0,"Amazing pizza, and great service and wait time.",a year ago,Open,1000902898
Sherri Dewolf,5.0,Live this pizza place. With seasoned crust too,a year ago,Open,1000902898
Phyllis DeLaRosa,5.0,Had an awesome pizza.,6 months ago,Open,1000902898
Chris Pricelesss,5.0,My family and I love this location. Always fast and the staff is friendly. The price is right and the food is great. Doesn’t get no better than that. Thank you guys you make family night enjoyable every time.,2 years ago,Open,1000902898
matasha malone,5.0,Very good price for meal deals you do get your money's worth and it's satisfactory,a year ago,Open,1000902898
Joey,5.0,"Absolutely delicious food, and the most friendly staff I've ever met. Their delivery drivers are nice and respectful, and I love their food, especially the BBQ chicken pizza and their salads!",a year ago,Open,1000902898
David Elsner,5.0,2nd best pizza in the country. 2nd only to my homemade of course.,a year ago,Open,1000902898
Jessica,5.0,I love their food and they are friendly.,a year ago,Open,1000902898
Dana Rounding,5.0,Really friendly and helpful staff.  Good pizza at an affordable price.,2 years ago,Open,1000902898
Troy Brown,1.0,Terrible service ordered a Howie Bread and they made me wait an hour and forgot to put my order in.  TERRIBLE,a year ago,Open,1000902898
"Kitten Puff, Jr.",4.0,Better than Little Caesars nowadays. The crust and dough are good.,2 years ago,Open,1000902898
Shawn,5.0,Order from this location often due the excellent customer service. They're always extremely polite and honestly can't remember a time when my order has been incorrect.,2 years ago,Open,1000902898
Jennifer Sherwood,5.0,Great pizza great price garlic crust is awesome,a year ago,Open,1000902898
Ryan Riddle,5.0,Never disappoint! Excellent pizza and always tastes good never had a bad one. Store is always clean and friendly staff.,3 years ago,Open,1000902898
Cassie Spanke,5.0,Delicious pizza and great money saving coupons. Staff is always friendly and the manager Ernie rocks!!,2 years ago,Open,1000902898
cathy kuhles,3.0,It was ok for pizza I have had better. The one in Clio is not as good as others,a year ago,Open,1000902898
Chris Zolinski,5.0,best pizza in town,10 months ago,Open,1000902898
Faith Zoellner,4.0,"Good and fast
Ill never buy there chicken wings again though stick to the pizza and bread",2 years ago,Open,1000902898
Alan Campbell,5.0,Favorite pizza spot,11 months ago,Open,1000902898
GoriestPunk,1.0,Omg I can't eat pizza softer then my fridge bread. I ask for well done every time and every time it's not. It drives me crazy that Clio is the only place that cant do special order. I'm sorry for the person there that can't read WELL DONE that's how it shows on my receipt,2 years ago,Open,1000902898
Dale Kujacznski Jr,2.0,just moved and the store is the same distance from my old house to new house just different direction ( west instead of east) but now I'm out of area cuz I have a montrose address.. hey I'll meet u on the other side of the rd because that's clio.. smh.. guess I'll order Jets Pizza,2 years ago,Open,1000902898
Clio Reviews,5.0,"I gave hungry Howies a 5- star rating and here's why....
1) out of this world customer service - manager messed up my order, so he gave me a free pizza on top of correcting my order. …More",4 years ago,Open,1000902898
Stephen Roberts,1.0,"Placed order for hotel special #3, $7 pizza. Also a small salad final price was $17.84. Really....a steak dinner at a decent steak house cost less than a pizza. …More",5 years ago,Open,1000902898
Auston Giddings,4.0,One of my favorite pizza places.,a year ago,Open,1000902898
Sonja Oswald,5.0,That was great pizza!,a year ago,Open,1000902898
Mathew Clements,5.0,Best quick pizza place I've found.  Better taste and price then it's competition.,3 years ago,Open,1000902898
Cintya Salgado,4.0,Good food,10 months ago,Open,1000902898
Sheldon Meyers,5.0,Never had a bad pizza and staff is very friendly.,2 years ago,Open,1000902898
sandra koviack,5.0,One of the better pizza places in area,a year ago,Open,1000902898
Nicholas Comerford,5.0,Clio hungry howies is one of the best around.. I live in mt.morris and there is a store rite down the road and i would rather drive to clio to get pizza from that location,2 years ago,Open,1000902898
Purple Willows,5.0,Wonderful food!,a year ago,Open,1000902898
Thomas Merrill,5.0,They have the best pizza ever and the $20 meal deal they have is really cheap.,4 years ago,Open,1000902898
Christopher Borgers,3.0,It was a cheap way to get pizza. The pizza is not half bad. It was fast and delicious.,7 years ago,Open,1000902898
Bailey Thompson,4.0,"I love ordering from here, they are fast & delicious. Ive never had a problem with food from here.",5 years ago,Open,1000902898
mike Thygesen,5.0,Best pizza ever..luv online ordering!😁😁😁,2 years ago,Open,1000902898
Dale Sweeney,5.0,"Fast, friendly and good. Flavored crusts are great.",3 years ago,Open,1000902898
Deanna Benner,5.0,Your flavored crust is the best. I enjoy your pizza the most.,6 years ago,Open,1000902898
Gary Swackhamer,3.0,"Fast, They say 20 min to get here and it's more like 8 min's. Much much better then Little Ceasers.",6 years ago,Open,1000902898
Gregory Kent,5.0,Love the Philly Cheese Steak Pizza! Great people.,3 years ago,Open,1000902898
Kali Atkinson,5.0,GREAT JOB!!!!!! Your service is amazing the food is the BOMB and I cannot thank you enough for having the best bread and the best pizza thank you 😍😘😎😚😊🙂😉😃😀,4 years ago,Open,1000902898
klojomon,4.0,their pizza is pretty good and their bread sticke are great but their sauce is pretty similar to other places.,6 years ago,Open,1000902898
Wonder Waffle,5.0,Omg I told them to make it with love and they left a Dinosour that says rawr on my box👌🏼 I love it,4 years ago,Open,1000902898
Eric Clifford,4.0,Yummy pizza I like how they except my coupons and I can get pizza,6 years ago,Open,1000902898
Krystan Todd,1.0,The guy who has been there for 15 years apparently is a complete jerk! Wouldn’t recommend this place to my worst enemie.,2 years ago,Open,1000902898
Susan Mancour,5.0,Done in a timely matter,a year ago,Open,1000902898
Travis MacKay,4.0,Great pizza,a year ago,Open,1000902898
Michael Farkel,4.0,Decent prices. Prompt delivery.,3 years ago,Open,1000902898
Renee Lewis,4.0,Great subs !,a year ago,Open,1000902898
Jacob Easterly,4.0,"Great pizza place, my favorite in Clio area",2 years ago,Open,1000902898
Anthony Elleman,5.0,"Always quick, always good.",3 years ago,Open,1000902898
Elaine Andres,5.0,Love this place and always friendly and great pizza,2 years ago,Open,1000902898
Saderday Jones,4.0,amazing food and service fast speedy delivery,5 years ago,Open,1000902898
Megan White,4.0,They are a great business and i love their flavored crust,4 years ago,Open,1000902898
Jeannie Jones,5.0,Love the food,a year ago,Open,1000902898
Jeffrey Ross,4.0,I like their pizza and their crust. their crust is the best.,5 years ago,Open,1000902898
Hillary LeGrande,5.0,I love the crust and bread,2 years ago,Open,1000902898
Jeff Glenn,5.0,Love it,a year ago,Open,1000902898
James Braswell,3.0,Ok,2 years ago,Open,1000902898
Tom Spaniola,4.0,Everything on the menu is good,2 years ago,Open,1000902898
Debbie Griswold,1.0,Pizza didnt like,3 years ago,Open,1000902898
D S,5.0,Best pizza ever,3 years ago,Open,1000902898
Jamie Jones,2.0,Not the best,3 years ago,Open,1000902898
Mike Clar,4.0,Good deals on pizza,4 years ago,Open,1000902898
Buddy McClelland,3.0,It's hit and miss.,4 years ago,Open,1000902898
K J,4.0,Love Hungry Howies,4 years ago,Open,1000902898
Donnie Pease,5.0,Mmmhmm. Pizza,4 years ago,Open,1000902898
Jeremy Jarzab,5.0,"This place is awesome, they sell pizza",5 years ago,Open,1000902898
Andrew Promenchenkel,5.0,,a year ago,Open,1000902898
Tim Miller,4.0,,a year ago,Open,1000902898
Kelsey Young,4.0,,2 years ago,Open,1000902898
Joseph Boczar,3.0,,2 years ago,Open,1000902898
Rhodope Robinson,4.0,,a year ago,Open,1000902898
Cheri Sites,5.0,,a year ago,Open,1000902898
Nicole Gerhauser,5.0,,a year ago,Open,1000902898
Big Daddy Diggersby,4.0,,2 years ago,Open,1000902898
Beckie Wilson,3.0,,2 years ago,Open,1000902898
TheGateKeeper03,5.0,,a year ago,Open,1000902898
Nichole Drwal,5.0,,2 years ago,Open,1000902898
Cato Brown,4.0,,a year ago,Open,1000902898
Madison Nicole,4.0,,a year ago,Open,1000902898
Dena Johnson,5.0,,6 months ago,Open,1000902898
Lindsay Jackson,5.0,,2 years ago,Open,1000902898
Amber R,5.0,,a year ago,Open,1000902898
Ryan Grab,3.0,,3 years ago,Open,1000902898
Jayne Dorayme,5.0,,a year ago,Open,1000902898
Brandon Newberry,4.0,,4 years ago,Open,1000902898
Tracy Edwards,5.0,,a month ago,Open,1000902898
Seth Castle,5.0,,a year ago,Open,1000902898
Dyana Bryant,3.0,,a month ago,Open,1000902898
Angela Coleman,5.0,,2 years ago,Open,1000902898
Shejural Young,3.0,,3 years ago,Open,1000902898
James Norman,5.0,,a year ago,Open,1000902898
Tambri Lynn G,5.0,,11 months ago,Open,1000902898
Robert Pianga,4.0,,2 years ago,Open,1000902898
Sherry Holt,5.0,,a year ago,Open,1000902898
Jason Kinnamon,5.0,,a year ago,Open,1000902898
alex cummins,4.0,,10 months ago,Open,1000902898
Dave Patrosso,5.0,,8 years ago,Open,1000902898
Nate Holbin,4.0,,a year ago,Open,1000902898
Smiles Goodsense,5.0,,3 months ago,Open,1000902898
Theresa Crang,3.0,,3 years ago,Open,1000902898
Lyndia G.,1.0,,2 years ago,Open,1000902898
Victoria Lorentz,4.0,,a year ago,Open,1000902898
Jason Carroll wascher,3.0,,2 years ago,Open,1000902898
Geraldine Trickey,5.0,,a year ago,Open,1000902898
Cynthia Boone,5.0,,a year ago,Open,1000902898
Michael C,5.0,,2 years ago,Open,1000902898
michael bonesteel,5.0,,a year ago,Open,1000902898
Unlimited,5.0,,a year ago,Open,1000902898
Amy Moore,1.0,,2 years ago,Open,1000902898
Frederick Babcock,4.0,,a year ago,Open,1000902898
