name,stars,text,timeSince,openStatus,key
Audrey Todd,5.0,I went there one time n the pizza was ho-hum. Turns out it was my taste buds. I tried them out again and I have to say that they have great food. Their salads are yummy and pizza is awesome. Their service is quick and good as well. There is one not so nice waitress working the morning shift but it is what it is. Great place to hang out .,2 weeks ago,Open,2000376760
Rebecca Higginbotham,5.0,"We are just passing through and staying at a hotel.  This place was amazing!
We ordered takeout to come back to the hotel.
It is open for inside dining and there were a few people there. Everyone was …More",4 months ago,Open,2000376760
dan bluhm,5.0,Love the grinder and great salads 👊👍,3 weeks ago,Open,2000376760
Alicia White,2.0,"I ordered pizza for curside pickup but went inside to pick up since the parking lot was full and there wasn't a designated curbside area. I was highly recommended the No Kiss Tonight pizza, and ordered an extra large. The toppings were …More",3 months ago,Open,2000376760
Patrick Morrow,1.0,Used to be a nice place. Took my family at least a couple times a month. (2-3 hundred dollarn nightbout) last night? Rude nasty people. Every single employee. If you don't like your job...? Quit. But you will never see another dime of my money. Left before we even ordered.,a month ago,Open,2000376760
Kelly Camo,5.0,Great staff and great place to have a nice meal and drink.😁,3 days ago,Open,2000376760
Scott Peterson,5.0,I had lunch here today and the pizza I ate was perfect. The crust was cooked perfectly and the amount of toppings that they put on especially the cheese was great. The staff was friendly and Johnny on the spot if I needed anything.,9 months ago,Open,2000376760
Sherry Butler,4.0,This place has good pizza/sandwiches. TV for sports. Very clean and nice people.,3 months ago,Open,2000376760
Damien Storey,5.0,Authentic pies that are highly appreciated 🙏 and addictive. Keep it up awesome service as well. 💯 🔥🔥🔥,3 months ago,Open,2000376760
Teresa H,5.0,It was my first time ordering from them and it definitely won't be my last! I ordered late in the night through DoorDash and it was some of the best pizza I have ever had. I highly recommend!,5 months ago,Open,2000376760
Michelle Abernathy,5.0,"great place, been here quite  few times. The cook is a great guy. Overheard my 4 yr say he wanted pizza 🍕 sitting outside of his marctial arts class and bought my kid a slice. Great alfrdo and bread. Pizza is awsome and if your a true Oregonian you'll appreciate the ranch.",3 months ago,Open,2000376760
We Are Glitched,5.0,One of the best pizza places around. They have a ton of food to choose from and a bar.,5 months ago,Open,2000376760
genevieve sousa,2.0,"Definitely some of the better pizza I’ve had in southern Oregon.. unfortunately the waitress / bar tender, Sierra, brought the whole experience downhill. Her attitude and demeanor made the meal uncomfortable. Don’t come here for the service.  I’ll be getting take out next time!",8 months ago,Open,2000376760
Orlando Marin,3.0,"My sandwich wasn't exactly what I ordered and neither were the fries. The pizzas looked good in appearance and I'm sure they tasted good. Maybe that's what I should have ordered. Make sure to wear earplugs, it gets mighty loud in there when the football games are on. Also, they have a good selection on the menu and the service was good.",a year ago,Open,2000376760
Dave Horn,5.0,"Great place, Mike's the best bartender in the valley 😎👍",4 months ago,Open,2000376760
jamie cotton,4.0,"It's a great place for the locals to hang out and karaoke. There were quite a few people here, and they are open until 2am on Fridays. I ordered the house salad and my boyfriend ordered the Caesar salad. The food and service was excellent, …More",2 years ago,Open,2000376760
Rogue OPE,5.0,"Small but good..good service, good beer options on tap, good pub food too to boot👌",5 months ago,Open,2000376760
