name,stars,text,timeSince,openStatus,key
Joie Laney,1.0,Worst burger and fries I've ever had in my life. The meat obviously wasn't fresh and the fries were limp and soaked in grease. Not to mention the terrible service. What a waste of $10.,3 years ago,Closed,2000198782
Alex M.,2.0,The Philly steak sandwich was not your typical phily steak sandwich unsatisfactory!! On top of the fries that accompany your meal they add more fries to the sandwich itself which takes away from the flavor of the sandwich.the meat is too be greasy and the veggies are overcooked.,a year ago,Closed,2000198782
lucy lucy,3.0,Provolone tastes like Swiss cheese. 😐it’s happened at least twice.,a year ago,Closed,2000198782
Gabriel Gonzalez,1.0,"This place is disgusting, I feel bad for all the people who come and eat here without a clue as to what goes on behind the register. Save your money and don't support this business, everyone there is soulless especially the regional …More",2 years ago,Closed,2000198782
Tracy Gutierrez,3.0,The sides are pretty good. Sandwiches aren't worth the price for me,2 years ago,Closed,2000198782
Joan Mary Zamora,3.0,"Did not eat there the electric appliances off,  light tuned off. They had problems. But my daughter ate there  and like it.",a year ago,Closed,2000198782
rusty brenn,1.0,Cashier was argumentative when I said my meal was cold. The customer is always right. remember this.,2 years ago,Closed,2000198782
Fernando Gamboa,5.0,The best of the best,a year ago,Closed,2000198782
Alicia Arevalo,1.0,Cheese on Naked Philly was salty.,a year ago,Closed,2000198782
Janie Cue,3.0,Okay,2 years ago,Closed,2000198782
John McClane,1.0,bad experience. POS service,2 years ago,Closed,2000198782
rfwlan,4.0,"(Translated by Google) The best meat sandwich. Very good option

(Original) …More",11 months ago,Closed,2000198782
Roberto Diaz,4.0,"(Translated by Google) Very tasty

(Original)
Muy sabroso",10 months ago,Closed,2000198782
Marco Antonio Areizaga Gil,2.0,"(Translated by Google) Totally a fraud, little meat, disappointing ..

(Original) …More",9 months ago,Closed,2000198782
Javier Delgado,5.0,"(Translated by Google) Very clean place

(Original)
Lugar muy limpio",a year ago,Closed,2000198782
Oscar Aguilar,4.0,(Translated by Google) Good option to grab pile for purchases. There are good options and for a few USD you can do the combo. …More,2 years ago,Closed,2000198782
Ricardo Novelo,5.0,"(Translated by Google) Very rich

(Original)
Muy ricoo",a year ago,Closed,2000198782
Ruth Salazar Viezca,5.0,"(Translated by Google) Very rich

(Original)
Muy rico",2 years ago,Closed,2000198782
M humberto Bsuarez,3.0,"(Translated by Google) Quick

(Original)
Rapido",a year ago,Closed,2000198782
Jorge Gomez,5.0,"(Translated by Google) Delicious

(Original)
Delicioso",2 years ago,Closed,2000198782
Eliud De Anda,5.0,"(Translated by Google) Delicious

(Original)
Delicioso",2 years ago,Closed,2000198782
Lizbeth Gonzalez,4.0,"(Translated by Google) Very rich but waiters are not bilingual

(Original) …More",2 years ago,Closed,2000198782
César González,5.0,"(Translated by Google) Deli

(Original)
Deli",a year ago,Closed,2000198782
Laura Alejandro,5.0,"(Translated by Google) Excellent cuts and flavor another Gourmet flavor

(Original) …More",2 years ago,Closed,2000198782
Joseph Barrios,2.0,,a year ago,Closed,2000198782
Pablo Mireles,5.0,,a year ago,Closed,2000198782
José Ignacio Davila,5.0,,a year ago,Closed,2000198782
Olga T,5.0,,a year ago,Closed,2000198782
KENIA LIZETH FERRER GARCIA,5.0,,a year ago,Closed,2000198782
Humberto Gonzalez,4.0,,2 years ago,Closed,2000198782
Gloria Gonzalez,2.0,,a year ago,Closed,2000198782
Miguel Angel Villarreal,5.0,,8 months ago,Closed,2000198782
Kevin Son,4.0,,2 years ago,Closed,2000198782
Pablo Cornejo,4.0,,2 years ago,Closed,2000198782
aaron perez,5.0,,a year ago,Closed,2000198782
Erik Boy,4.0,,2 years ago,Closed,2000198782
Jose Aguilar,4.0,,2 years ago,Closed,2000198782
Carlos Vázquez,5.0,,2 years ago,Closed,2000198782
Luis Alberto Sanchez Morales,5.0,,2 years ago,Closed,2000198782
Daniel Rios,3.0,,2 years ago,Closed,2000198782
David Lopez,3.0,,a year ago,Closed,2000198782
Alexis Acevedo Rosado,4.0,,a year ago,Closed,2000198782
Juan Carlos Vargas M,4.0,,a year ago,Closed,2000198782
Luis Ángel González,4.0,,2 years ago,Closed,2000198782
Enoc Lopez,4.0,,2 years ago,Closed,2000198782
Poshu Teng,5.0,,a year ago,Closed,2000198782
TheBeast 7287,5.0,,2 years ago,Closed,2000198782
Rulhaas Ri,4.0,,2 years ago,Closed,2000198782
José María Casado,4.0,,a year ago,Closed,2000198782
Guadalupe Arrastio,5.0,,2 years ago,Closed,2000198782
Bardo Estrada,5.0,,2 years ago,Closed,2000198782
Greg Carr,3.0,,a year ago,Closed,2000198782
Ludving Misael Ramirez Salazar,5.0,,a year ago,Closed,2000198782
magda hernandez,5.0,,11 months ago,Closed,2000198782
Roberto Alarcon,5.0,,2 years ago,Closed,2000198782
Norberto Flores,4.0,,a year ago,Closed,2000198782
Michelle Denney,4.0,,a year ago,Closed,2000198782
